Rtishchevo Air Base;52.2891038;52.3020711;43.7002848;43.7481424
Bogorodskoye Airport;52.3747355;52.3915254;140.4454538;140.4558104
Sabetta International Airport;71.2041634;71.2341634;72.0319355;72.0619355
Shushenskoye Airport;71.2041634;71.2341634;72.0319355;72.0619355
Nogliki Airport;51.7761306;51.7937902;143.1353899;143.1508308
Nikolskoye Airport;55.1742093;55.1819564;166.0429651;166.0535293
Tilichiki Airport;60.3692975;60.3992975;166.0109975;166.0409975
Nyurba Airport;63.2899261;63.3019355;118.308104;118.3675325
Sakkyryr Airport;67.7881522;67.7970115;130.3590984;130.4220029
Ust-Kuyga Airport;69.9916441;70.0216441;135.6136536;135.6436536
Verkhnevilyuisk Airport;69.9916441;70.0216441;135.6136536;135.6436536
Mendeleyevo Airport;69.9916441;70.0216441;135.6136536;135.6436536
Yamburg Airport;67.9716638;68.0016638;75.0849985;75.1149985
Shakhtyorsk Airport;49.1841466;49.1983857;142.0706806;142.0902423
Talakan Airport;59.8504208;59.9073517;111.029576;111.052128
Mama Airport;58.2987634;58.3287634;112.875862;112.905862
Pertominsk Airport;64.7755555;64.8055555;38.4078286;38.4378286
Kostomuksha Airport;64.617292;64.6192971;30.6793206;30.6952851
Privolzhskiy Air Base;46.3855565;46.4069077;47.8611252;47.9256291
Kubinka Air Base;55.5972875;55.6254698;36.6188559;36.6714384
Rogachyovo Air Base;71.5719044;71.6640849;52.4613854;52.4969585
Ulan-Ude East Airport;51.7996736;51.8197785;107.4087297;107.4776648
Krechevitsy Air Base;51.7996736;51.8197785;107.4087297;107.4776648
